"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine"
"Morphological","Timing","0","MTM","7","2392","0.159","0.005","0.086","within","no","1.03119542927055","7","2392","0.131","0.018","0.003","within","yes","0.753592479201987","7","2392","0.229","0.088","0.014","within","yes","0.924934441095816","7","2392","-0.664","-0.465","0.48","between","no","-0.478127474560393","7","2392","0.03","0.041","0.48","between","no","-0.0965166131899169","7","2392","0.634","0.558","0","within","yes","0.675757870630748","7","2392","0.072","0.014","0.008","within","yes","0.604949152843146","7","2392","0.146","0.032","0.011","within","yes","0.809692236322699"
"Morphological","Timing","0","SEN","39","2360","0.081","0.017","0","within","yes","0.42854874982672","39","2360","0.159","0.038","0","within","yes","0.806944159145491","39","2360","0.214","0.099","0","within","yes","0.75437915408524","39","2360","0.069","-0.11","0","within","yes","0.430074462041761","39","2360","0.212","0.073","0","within","yes","1.21961902121804","39","2360","0.649","0.559","0","within","yes","0.800239583641675","39","2360","0.145","0.026","0","within","yes","1.24118877910921","39","2360","0.263","0.053","0","within","yes","1.49153833006813"
"Morphological","Timing","0","WAT","40","2359","0.088","0.021","0","within","yes","0.448636972474848","40","2359","0.235","0.024","0","within","yes","1.40715055850991","40","2359","0.333","0.091","0","within","yes","1.58747613294459","40","2359","-0.072","-0.154","0.003","within","yes","0.197017351326393","40","2359","0.157","0.057","0","within","yes","0.877423756271972","40","2359","0.685","0.546","0","within","yes","1.23592557917992","40","2359","0.234","0.043","0","within","yes","1.99216014125933","40","2359","0.386","0.082","0","within","yes","2.15917929686053"
"Morphological","Timing","1","all","263","2147","0.035","0.018","0","within","yes","0.113833261672723","263","2147","0.074","0.033","0","within","yes","0.273427359710456","263","2147","0.147","0.107","0","within","yes","0.26239274924704","263","2147","-0.097","-0.164","0","within","yes","0.160977591937419","263","2147","0.096","0.063","0","within","yes","0.289549839569751","263","2147","0.585","0.541","0","within","yes","0.391228240891485","263","2147","0.076","0.028","0","within","yes","0.500647574766741","263","2147","0.139","0.056","0","within","yes","0.589512768550738"
"Morphological","Vegetative","0","CUL","74","2325","0.037","0.025","0.012","within","yes","0.0803528905925101","74","2325","0.07","0.034","0","within","yes","0.240082559745766","74","2325","0.199","0.095","0","within","yes","0.682221148042304","74","2325","-0.002","-0.114","0","within","yes","0.269096870104342","74","2325","0.133","0.068","0","within","yes","0.570325441576782","74","2325","0.619","0.567","0","within","yes","0.462360648326302","74","2325","0.05","0.026","0","within","yes","0.250323787383371","74","2325","0.081","0.051","0","within","yes","0.213076904295447"
"Morphological","Vegetative","0","GER","60","2339","0.089","0.021","0","within","yes","0.45533304669089","60","2339","0.155","0.042","0","within","yes","0.753592479201987","60","2339","0.21","0.104","0","within","yes","0.695340785504656","60","2339","0.076","-0.11","0","within","yes","0.446893016423282","60","2339","0.176","0.067","0","within","yes","0.956391894336449","60","2339","0.646","0.574","0","within","yes","0.640191666913341","60","2339","0.107","0.03","0","within","yes","0.803122151188314","60","2339","0.192","0.06","0","within","yes","0.937538378899968"
"Morphological","Vegetative","0","GRS","272","2127","0.114","0.031","0","within","yes","0.555774159931528","272","2127","0.233","0.047","0","within","yes","1.24042655868646","272","2127","0.213","0.125","0","within","yes","0.577264048343488","272","2127","0.038","-0.121","0","within","yes","0.382021449523128","272","2127","0.135","0.075","0","within","yes","0.526454253763183","272","2127","0.593","0.561","0","within","yes","0.284529629739262","272","2127","0.08","0.025","0","within","yes","0.573658679420225","272","2127","0.151","0.051","0","within","yes","0.710256347651491"
"Morphological","Vegetative","0","HRM","152","2247","0.164","0.025","0","within","yes","0.930754316029909","152","2247","0.091","0.022","0","within","yes","0.460158239512718","152","2247","0.318","0.074","0","within","yes","1.60059577040694","152","2247","-0.295","-0.251","0","between","yes","-0.105716627540991","152","2247","0.151","0.054","0","within","yes","0.851101043583813","152","2247","0.646","0.529","0","within","yes","1.04031145873418","152","2247","0.172","0.038","0","within","yes","1.39764114622382","152","2247","0.32","0.075","0","within","yes","1.74012805174615"
"Morphological","Vegetative","0","IST","94","2305","0.052","0.018","0","within","yes","0.227666523345445","94","2305","0.198","0.049","0","within","yes","0.993675038947753","94","2305","0.254","0.113","0","within","yes","0.924934441095816","94","2305","0.072","-0.108","0","within","yes","0.432477112667692","94","2305","0.199","0.077","0","within","yes","1.07045698265181","94","2305","0.678","0.559","0","within","yes","1.05809456059288","94","2305","0.138","0.025","0","within","yes","1.17860783226337","94","2305","0.248","0.054","0","within","yes","1.37789731444389"
"Morphological","Vegetative","0","LEF","246","2153","0.071","0.02","0","within","yes","0.341499785018168","246","2153","0.167","0.047","0","within","yes","0.800275199152553","246","2153","0.222","0.116","0","within","yes","0.695340785504656","246","2153","-0.004","-0.13","0","within","yes","0.302733978867385","246","2153","0.129","0.074","0","within","yes","0.482583065949585","246","2153","0.635","0.56","0","within","yes","0.666866319701396","246","2153","0.088","0.024","0","within","yes","0.667530099688989","246","2153","0.173","0.051","0","within","yes","0.866512744134819"
