"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Essential","Embryo / Seed","0","EMB","364","2035","0.78","0.047","0","within","yes","4.86433490931145","5","364","2035","0.796","0.07","0","within","yes","4.81973812879789","5","364","2035","0.78","0.176","0","within","yes","3.95574015504242","5","364","2035","0.01","0.008","0","within","yes","0.0294978515504196","5","364","2035","0.022","0.034","0","between","yes","-0.117518123059745","5","364","2035","0.793","0.571","0","within","yes","2.28679109790043","5","364","2035","0.499","0.027","0","within","yes","4.88415729611085","5","364","2035","0.65","0.052","0","within","yes","4.2197022587089","5"
"Essential","Embryo / Seed","0","MSD","13","2386","0.239","0.051","0","within","yes","1.24760567933227","6","13","2386","0.419","0.088","0","within","yes","2.19742881629766","6","13","2386","0.336","0.157","0","within","yes","1.17231372144469","6","13","2386","0.07","0.02","0.522","within","no","0.73744628876049","6","13","2386","0.117","0.065","0.061","within","no","0.50924519992556","6","13","2386","0.753","0.585","0","within","yes","1.73054461462736","6","13","2386","0.307","0.047","0","within","yes","2.6904256292136","6","13","2386","0.46","0.098","0","within","yes","2.55440170176024","6"
"Essential","Embryo / Seed","1","all","377","2022","0.742","0.045","0","within","yes","4.62543169412017","0","377","2022","0.763","0.068","0","within","yes","4.61393663844977","0","377","2022","0.75","0.174","0","within","yes","3.77236147235834","0","377","2022","0.01","0.008","0","within","yes","0.0294978515504196","0","377","2022","0.023","0.035","0","between","yes","-0.117518123059745","0","377","2022","0.785","0.57","0","within","yes","2.21468507229096","0","377","2022","0.476","0.026","0","within","yes","4.65650589671585","0","377","2022","0.629","0.051","0","within","yes","4.07857509286579","0"
"Morphological","Reproductive","0","FSM","147","2252","0.048","0.016","0","within","yes","0.212358413503365","18","147","2252","0.126","0.048","0","within","yes","0.517823104746881","18","147","2252","0.202","0.114","0","within","yes","0.576333002721413","18","147","2252","0.102","0.026","0","within","yes","1.12091835891594","18","147","2252","0.214","0.096","0","within","yes","1.15559487675415","18","147","2252","0.636","0.557","0","within","yes","0.813768003306911","18","147","2252","0.075","0.023","0","within","yes","0.53808512584272","18","147","2252","0.147","0.051","0","within","yes","0.677410396046914","18"
"Morphological","Reproductive","0","OVP","33","2366","0.073","0.012","0","within","yes","0.404808225740789","19","33","2366","0.094","0.031","0","within","yes","0.418241738449403","19","33","2366","0.194","0.13","0","within","yes","0.419151274706482","19","33","2366","0.06","0.016","0","within","yes","0.648952734109231","19","33","2366","0.157","0.082","0","within","yes","0.734488269123403","19","33","2366","0.692","0.588","0","within","yes","1.07128952334074","19","33","2366","0.141","0.019","0","within","yes","1.26243048755407","19","33","2366","0.232","0.039","0","within","yes","1.36187715038598","19"
"Morphological","Reproductive","0","SRF","197","2202","0.071","0.021","0","within","yes","0.331810021099008","20","197","2202","0.205","0.049","0","within","yes","1.03564620949376","20","197","2202","0.287","0.121","0","within","yes","1.08717361876994","20","197","2202","0.097","0.023","0","within","yes","1.09142050736552","20","197","2202","0.248","0.084","0","within","yes","1.60608101514984","20","197","2202","0.635","0.564","0","within","yes","0.731361116896085","20","197","2202","0.111","0.025","0","within","yes","0.889910015816807","20","197","2202","0.197","0.053","0","within","yes","1.01611559407037","20"
"Morphological","Reproductive","0","SSC","40","2359","0.095","0.008","0","within","yes","0.577349436712273","21","40","2359","0.146","0.04","0","within","yes","0.703708321835504","21","40","2359","0.2","0.115","0","within","yes","0.556685286719546","21","40","2359","0.027","0.014","0.012","within","yes","0.191736035077727","21","40","2359","0.084","0.066","0.001","within","yes","0.176277184589617","21","40","2359","0.68","0.57","0","within","yes","1.13309468814886","21","40","2359","0.152","0.018","0","within","yes","1.38660397813316","21","40","2359","0.229","0.035","0","within","yes","1.36893350867814","21"
"Morphological","Reproductive","1","all","417","2061","0.039","0.017","0","within","yes","0.145996409283563","0","417","2061","0.116","0.042","0","within","yes","0.49126807373422","0","417","2061","0.193","0.119","0","within","yes","0.48464366137937","0","417","2061","0.066","0.019","0","within","yes","0.69319951143486","0","417","2061","0.176","0.08","0","within","yes","0.940144984477956","0","417","2061","0.608","0.561","0","within","yes","0.484140457663605","0","417","2061","0.063","0.021","0","within","yes","0.434607217026813","0","417","2061","0.116","0.045","0","within","yes","0.50100143874303","0"
"Morphological","Timing","0","CDR","13","2386","0.274","0.009","0","within","yes","1.75859311182474","24","13","2386","0.167","0.018","0","within","yes","0.989174905221605","24","13","2386","0.396","0.1","0","within","yes","1.93857464551748","24","13","2386","0.173","0.01","0","within","yes","2.4040749013592","24","13","2386","0.253","0.072","0","within","yes","1.77256502281781","24","13","2386","0.741","0.534","0","within","yes","2.13227818588013","24","13","2386","0.306","0.023","0","within","yes","2.92842481949019","24","13","2386","0.473","0.046","0","within","yes","3.01306499075034","24"
"Morphological","Timing","0","FLT","151","2249","0.088","0.022","0","within","yes","0.43798922785069","22","151","2249","0.287","0.04","0","within","yes","1.63977316503179","22","151","2249","0.312","0.098","0","within","yes","1.4015370747998","22","151","2249","0.043","0.019","0","within","yes","0.353974218605035","22","151","2249","0.102","0.072","0","within","yes","0.293795307649361","22","151","2249","0.681","0.54","0","within","yes","1.45242137299082","22","151","2249","0.163","0.021","0","within","yes","1.46938630518589","22","151","2249","0.288","0.044","0","within","yes","1.72175142328591","22"
